building,balancePoint,slope1,slope2,intercept1,intercept2
DC0010ZZ,18.96571083717167,-1.094332747011161e-06,1.0904322190164123e-05,0.0002213472936831622,-6.215726290306441e-06
DC0011ZZ,23.06114949581861,3.0629737971939924e-06,1.564825501007254e-05,0.0006804759425041062,0.0003902448910069966
DC0021ZZ,13.1000861675427,-7.710446237507576e-07,5.0915485874946525e-06,0.00021250511767657883,0.00013570464144401309
DC0078ZZ,22.89228286734121,-6.522587462079658e-07,1.0581890559481107e-05,0.00039793209045254014,0.00014075676677276105
DC0313ZZ,13.125981786944985,-7.567580108235907e-06,4.233995659051617e-07,0.0002805778544025247,0.00017568840073990148
DC0459AF,11.744598315433347,-3.7330274230044183e-06,7.452961230453479e-06,0.0002847888111829387,0.00015341386768708053
DC0463ZZ,18.012443989199184,-1.2381219413377685e-06,8.463297368512068e-06,0.00054874341215473,0.00037399714022032444
DC0501BC,25.803582436072695,1.528098685743907e-06,-6.728850647755581e-06,0.00015037232771443037,0.00036343120051185993
DC0505ZZ,13.956356557784222,-3.482434697911707e-06,1.1581796764304089e-05,0.0006047166182455578,0.0003944748326898829
MD0000HC,8.72542559887232,-6.5937552402938685e-06,6.797003911238408e-07,0.0006078536639393972,0.0005443896679807631
MD0334ZZ,12.197013143466386,-1.8751751965773994e-06,2.2992536208133745e-05,0.0008359693978624677,0.000532657595011277
MD0778AG,10.23460412831497,7.206636505097319e-07,3.5802535029390266e-06,0.00020028970473554394,0.0001710229346265835
MO0000AF,10.181339385536635,-2.417128563399946e-06,2.159010899699351e-06,0.0003954100003121756,0.00034881877136281426
MO0127ZZ,24.042355721620822,9.102910118037048e-07,1.1316444306229213e-05,0.00020479141213180924,-4.5397027066485256e-05
NC0002AE,6.8237785266709485,-1.6698222473334752e-06,1.530470256274457e-07,0.0002726876246468559,0.0002602487684450969
PA0000AT,8.77437121281006,-8.495025053032439e-06,8.082627803018769e-06,0.0006609123454732718,0.0005154538654771776
PA0144ZZ,9.952064456946097,-9.374836904836337e-08,1.551837482236387e-06,0.00017613302521366677,0.00015975604875224242
VA0088ZZ,8.668499928777296,-4.125702105731782e-06,4.135791931176862e-06,0.00015066506874452176,7.905030827398511e-05
WV0054FP,8.514840822877074,-1.127934085648605e-07,7.5890477079957135e-06,0.00024780839806498063,0.0001822284469143775
WV0226ZZ,18.57541331612829,-6.082665748216356e-07,1.3060118069121573e-05,0.0007485510665629977,0.0004946551724379315
