building,balancePoint,slope1,slope2,intercept1,intercept2,baseLoad
DC0010ZZ,19.105999515456613,-1.1233789947038775e-06,1.0558188387286413e-05,0.00022133091819992302,-1.857102540157266e-06,0.0002162161739091992
DC0011ZZ,21.220725240505843,3.746630228464724e-06,1.2148104452705076e-05,0.0006738097838930712,0.0004955244077652747,0.0006948297380787593
DC0021ZZ,12.716926165773293,-8.387451669206447e-07,4.964692583111891e-06,0.00021252291465319805,0.0001387210252783728,0.00021138351030798675
DC0078ZZ,22.975872901949188,-6.371344087079906e-07,1.0722134188819295e-05,0.00039785632678537424,0.00013686721522948467,0.0003937226392309475
DC0313ZZ,12.569219749850848,-7.73887583208987e-06,2.0620888063344073e-07,0.0002808343062401148,0.00018097079055471492,0.00027089286992539047
DC0459AF,16.451497396775558,-1.086437749390592e-06,5.963931020913233e-06,0.0003066982996317979,0.00019070917616083685,0.00030319372447582183
DC0463ZZ,18.194875289127246,-1.2059462509390714e-06,8.575715792203467e-06,0.0005489450612742366,0.00037096894027886844,0.0005440037717083185
DC0501BC,25.634874242556194,1.5408529762085199e-06,-6.455847020521133e-06,0.00015022671995630643,0.0003552211187279206,0.00016227224121095074
DC0505ZZ,14.498291189557852,-3.966525426430641e-06,1.147582984755992e-05,0.0006202441948343632,0.0003963564314194436,0.0006113229016449282
MD0000HC,8.72907619835869,-6.331739025365771e-06,4.960012748532541e-07,0.0006056503209976132,0.0005460504556543968,0.0006096738999141724
MD0334ZZ,12.279713935211438,-1.5704647077579831e-06,2.460679134310828e-05,0.0008375755098061798,0.0005161262938927593,0.000835785404666663
MD0778AG,9.974827744989916,1.0824198867288332e-06,3.412678178393538e-06,0.00019755484055108578,0.00017431091549039587,0.0001975412170763774
MO0000AF,13.01944860199879,-1.2325465014912347e-06,2.5316305602105465e-06,0.0003880730144730554,0.00033906550468940625,0.0003862122090676423
MO0127ZZ,13.802287382020666,-5.589072224410424e-07,7.73320406759505e-06,0.00022507227845413628,0.00011062217542536001,0.00022400971551433238
NC0002AE,7.049470345825285,-1.6451851835623798e-06,1.6076779091023334e-07,0.00027279178639967236,0.0002600607744601727,0.0002752188702350272
PA0000AT,14.965446860002231,-3.258003572721849e-06,2.693146915499085e-06,0.0007272716481156567,0.00063821002172831,0.0007191829263106328
PA0144ZZ,12.919409255145851,-1.909353039887813e-07,1.5905475187218898e-06,0.00017610820254592924,0.00015309249687831762,0.00017582949339912978
VA0088ZZ,8.96850547835217,-3.983430376743921e-06,4.20960665228381e-06,0.00015081748428413664,7.733818680495923e-05,0.0001528719275896251
WV0054FP,8.807944407442928,3.992179618410797e-08,7.651920225980198e-06,0.00024791751333635195,0.00018087145433716515,0.00024789371883614887
WV0226ZZ,18.155338022210145,-7.562052458745861e-07,1.2604066326220108e-05,0.0007490278457771202,0.0005064675993172161,0.0007459442910799823
