Unoccupied slope,Occupied slope,Building
0.00014793459090310516,4.004470150195779e-06,DC0010ZZ
4.407320078430651e-06,3.1696203452481037e-06,DC0021ZZ
1.2731307288677696e-05,5.124316006585297e-05,DC0078ZZ
1.261149192131076e-06,1.6859928298229494e-05,DC0313ZZ
7.148170156952641e-06,6.646703999134373e-07,DC0459AF
7.938940767889686e-06,4.915664655675969e-06,DC0463ZZ
-2.8227907082624236e-06,1.2708913974280808e-05,DC0501BC
1.0881545828701398e-05,3.8639344586297485e-06,DC0505ZZ
2.2343012493383565e-07,2.8604983088834217e-06,MD0000HC
5.469846773060194e-07,1.2527288968659574e-05,MD0205ZZ
2.2963397474032593e-05,5.930133027843561e-06,MD0334ZZ
3.6335609344440797e-06,1.0281202453166125e-06,MD0778AG
2.088116969726914e-06,1.4843928662171355e-06,MO0000AF
1.2883467650242725e-05,2.123064905980406e-06,MO0127ZZ
-1.3145684734609074e-06,9.668118180404898e-06,NC0002AE
2.0308807958804596e-06,1.6381902475297067e-05,NJ0056ZZ
6.404578938770523e-06,5.5976539441678205e-06,PA0000AT
7.829771159140731e-07,4.711740363898592e-06,PA0144ZZ
-1.3184202111845881e-05,7.011794522582496e-06,VA0088ZZ
8.109587705942944e-06,1.1254272626030259e-05,WV0054FP
1.570082558425998e-05,1.5301363158600856e-05,WV0226ZZ
